TransactionId,DivisionId,StateAb,DivisionNm,DivisionAb,Enrolment,Demographic,Nominations
24310,146,NSW,Robertson,ROBE,111142,Provincial,8
24310,177,QLD,Ryan,RYAN,106249,Outer Metropolitan,7
24310,232,VIC,Scullin,SCUL,105154,Outer Metropolitan,6
24310,148,NSW,Shortland,SHOR,114054,Provincial,7
24310,307,NT,Solomon,SOLO,69336,Inner Metropolitan,6
24310,325,SA,Spence,SPEN,119385,Outer Metropolitan,6
24310,246,WA,Stirling,STIR,101243,Inner Metropolitan,7
24310,190,SA,Sturt,STUR,123818,Inner Metropolitan,8
24310,247,WA,Swan,SWAN,100857,Inner Metropolitan,10
24310,149,NSW,Sydney,SYDN,114215,Inner Metropolitan,6
24310,248,WA,Tangney,TANG,94365,Inner Metropolitan,9
24310,233,VIC,Wannon,WANN,114572,Rural,5
24310,151,NSW,Warringah,WARR,104995,Inner Metropolitan,10
24310,251,NSW,Watson,WATS,107774,Inner Metropolitan,6
24310,152,NSW,Wentworth,WENT,103498,Inner Metropolitan,7
24310,153,NSW,Werriwa,WERR,117693,Outer Metropolitan,6
24310,150,NSW,Whitlam,WHIT,118695,Provincial,6
24310,178,QLD,Wide Bay,WBAY,107495,Rural,7
24310,234,VIC,Wills,WILL,110658,Inner Metropolitan,6
24310,316,QLD,Wright,WRIG,112115,Rural,8
